_id,food_name,food_type,food_cuisine,ingredients
64315e59362c27c707fe15b3,Inari Sushi,Vegetarian,Japanese,"Rice
Kombu 
Rice vinegar
Sugar
Salt
Sesame seeds
Inari age 
Ginger 
Shiso leaves"
64315e59362c27c707fe15b5,Vegan Miso Soup,Vegetarian,Japanese,"Vegetables 
Sheet nori 
Yellow miso paste 
Green chard 
Onion
Tofu "
64315e59362c27c707fe15c2,Thai Pineapple Fried Rice,Vegetarian,Tai,"Coconut oil
Eggs
Salt
Pineapple
Red bell pepper
Onions 
Garlic
Raw
Cashews
Rice
Soy sauce
Chili garlic sauce
Lime
Cilantro leaves"
64315e59362c27c707fe15c6,Sesame Cucumber Salad,Vegetarian,Tai,"Cucumbers
Rice vinegar
Sesame oil
Sugar
Soy sauce
Salt
Sesame seeds
Red pepper "
64315e59362c27c707fe15c9,Chicken With Chillies & Cashews,Non-vegetarian,Tai,"Chicken
Salt
Pepper
Egg
Cornstarch
Chinese Chilli Recipe
Onions
Cashew nuts
Onion leaves
Oil "
64315e59362c27c707fe15e1,Tzatziki ,Vegetarian,Greek,"Cucumber 
Greek yogurt
Olive oil
Fresh mint 
Lemon 
Garlic
Salt"
64315e59362c27c707fe15e7,Souvlaki,Non-vegetarian,Greek,"Greek cuisine
Chicken
Tomato
Tomato
Yogurt
Lemon
Onion
Olive oil
Salt
Black pepper
Juice
Fresh oregano
Minced garlic"
64315e59362c27c707fe157b,Malai kofta,Vegetarian,Indian,"Tomato
Onion
Salt
Garlic
Cashews
Ginger
Oil
Butter
Bay leaf
Heavy cream
Coriander powder
Cloves
Cinnamon
Cardamoms
Gram masala
Ginger"
64315e59362c27c707fe157d,Pina colada with pork ribs,Non-vegetarian,Indian,"Pork
Oil
Pine apple
Salt
Jaggery
Giner
Mint leaves"
64315e59362c27c707fe1587,Crostini,Vegetarian,Italian,"French baguettes
Olive oil
Salt
Black Pepper"
64315e59362c27c707fe1592,Chicken Penne Pasta,Non-vegetarian,Italian,"Tomatoes
Basil
Olive oil
Balsamic vinegar
Garlic
Black pepper
Penne pasta
Chicken
Salt
Unsalted butter
Flour
White wine
Heavy cream
Italian seasoning
Red pepper
Parmesan cheese"
64315e59362c27c707fe159b,Salmon en papillote,Non-vegetarian,French,"salmon
zucchini
Garnish
Lemon
Olive oil
Salt
Black pepper"
64315e59362c27c707fe159e,Cassoulet,Non-vegetarian,French,"Sausage
Beans
Chicken
Navy Beans
Pork
Tomato
Salt
Onion
Garlic
Bacon
Carrot
Bread crumbs
Olive oil
Black pepper
Thyme"
64315e59362c27c707fe15a1,Chicken cordon bleu,Non-vegetarian,French,"Chicken
Cheese
Ham
Egg
Chicken breast
Bread crumbs
Butter
Garlic
Flour
Salt
Black pepper
Parmesan
Swiss cheese
Dijon mustard"
64315e59362c27c707fe15b0,Vegetarian Japanese Curry,Vegetarian,Japanese,"Cauliflower
Corn
Green beans
Okra
Zcchini
Crimini mushroom
Portobello mushroom
Shiitake mushroom
"
64315e59362c27c707fe15bb,Yakitori,Non-vegetarian,Japanese,"Chicken
Sake
Garlic
Soy Sauce
Mirin
Scallion"
64315e59362c27c707fe15c3,Thai Fruit Salad,Vegetarian,Tai,"Pineapple
Banana
Mango
Lychee fruit
Star fruit
Strawberries
Coconut milk
Lime 
Sugar"
64315e59362c27c707fe15cb,Stir Fried Prawns,Non-vegetarian,Tai,"Prawns
Garlic
Ginger
Onion
Snow peas
Broccolini
Light soy
Sesame oil
Chinease wine
Peper
Oyster sauce"
64315e59362c27c707fe15d0,Festival,Vegetarian,American,"Flour
Fine cornmeal
Brown sugar
Baking powder
Salt
Milk"
64315e59362c27c707fe15de,Jackfruit Gyro ,Vegetarian,Greek,"Olive oil
Onion
Garlic
Ground cloves
Cinnamon
Ground cumin
Dry oregano
Chilli powe
Tomato 
jackfruit 
Soy sauce
Maple syrup
White pepper
Apple cider vinegar
cucumber
sweet cherry tomatoes"
64315e59362c27c707fe15e2,Greek Chickpea Soup,Vegetarian,Greek,"Chickpeas
Onion
Olive oil
Bay leaf
Oregano
Pepper
Salt
Lemons
Flour
Vegetable stock"
